Date,"Fase, banco, y malla programada",Estado / Motivo de suspensión,Hora de ejecución,URL
01-09-2023,Fase 06 Banco 970 Mallas 04k-07c-18a,Ejecutada,13:04,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2001.09.2023.pdf
02-09-2023,Fase 06 Banco 970 Mallas 17d-18b-19a,Ejecutada,12:18,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2002.09.2023.pdf
04-09-2023,Fase 07 Banco 990 Malla 9A,Ejecutada,15:29,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2004.09.2023.pdf
04-09-2023,Fase 07 Banco 1000 Malla 6C-7A,Ejecutada,15:32,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2004.09.2023.pdf
05-09-2023,Fase 06 Banco 980 Malla 20E-23A,Ejecutada,12:54,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2005.09.2023.pdf
05-09-2023,Fase 06 Banco 980 Malla Precorte,Ejecutada,12:54,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2005.09.2023.pdf
06-09-2023,Fase 07 Banco 1000 Malla 12A,Ejecutada,12:43,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2006.09.2023.pdf
07-09-2023,Fase 07 Banco 990 Mallas 07b-08a,Ejecutada,13:08,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2007-09-2023.pdf
08-09-2023,Fase 07 Banco 990 Mallas 06d-07c,Ejecutada,13:40,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2008-09-2023.pdf
09-09-2023,Fase 07 Banco 990 Mallas 07d-08b,Ejecutada,13:35,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2009-09-2023.pdf
12-09-2023,Fase 06 Banco 980 Malla 24A-25A,Ejecutada,12:32,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2012-09-2023.pdf
12-09-2023,Fase 06 Banco 980 Malla Precorte,Ejecutada,12:32,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2012-09-2023.pdf
12-09-2023,Fase 06 Banco 970 Malla 15C-16C-17E,Ejecutada,12:38,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2023\09.%20Septiembre\Registro%20tronadura%20realizada%2012-09-2023.pdf
